timestamp,meal_type,number_of_students,date,hour,day_of_week,is_weekend,week,meal_slot,crowd_ratio,hour_label,day_name,week_type,crowd_level,time_slot_label
2024-03-01 07:00:00,Breakfast,44.0,2024-03-01,7,4,0,9,0,0.0801457194899817,07:00–08:00,Friday,Weekday,Low,Breakfast 07:00–08:00
2024-03-01 07:10:00,Breakfast,120.0,2024-03-01,7,4,0,9,0,0.2185792349726776,07:00–08:00,Friday,Weekday,Low,Breakfast 07:00–08:00
2024-03-01 07:20:00,Breakfast,200.0,2024-03-01,7,4,0,9,0,0.3642987249544626,07:00–08:00,Friday,Weekday,Medium,Breakfast 07:00–08:00
2024-03-01 07:30:00,Breakfast,212.0,2024-03-01,7,4,0,9,0,0.3861566484517304,07:00–08:00,Friday,Weekday,Medium,Breakfast 07:00–08:00
2024-03-01 07:40:00,Breakfast,314.0,2024-03-01,7,4,0,9,0,0.5719489981785064,07:00–08:00,Friday,Weekday,Medium,Breakfast 07:00–08:00
2024-03-01 07:50:00,Breakfast,314.0,2024-03-01,7,4,0,9,0,0.5719489981785064,07:00–08:00,Friday,Weekday,Medium,Breakfast 07:00–08:00
2024-03-01 08:00:00,Breakfast,353.0,2024-03-01,8,4,0,9,0,0.6429872495446266,08:00–09:00,Friday,Weekday,High,Breakfast 08:00–09:00
2024-03-01 08:10:00,Breakfast,307.0,2024-03-01,8,4,0,9,0,0.5591985428051002,08:00–09:00,Friday,Weekday,Medium,Breakfast 08:00–09:00
2024-03-01 08:20:00,Breakfast,371.0,2024-03-01,8,4,0,9,0,0.6757741347905283,08:00–09:00,Friday,Weekday,High,Breakfast 08:00–09:00
2024-03-01 08:30:00,Breakfast,239.0,2024-03-01,8,4,0,9,0,0.4353369763205829,08:00–09:00,Friday,Weekday,Medium,Breakfast 08:00–09:00
2024-03-01 08:40:00,Breakfast,136.0,2024-03-01,8,4,0,9,0,0.2477231329690346,08:00–09:00,Friday,Weekday,Low,Breakfast 08:00–09:00
2024-03-01 08:50:00,Breakfast,110.0,2024-03-01,8,4,0,9,0,0.2003642987249544,08:00–09:00,Friday,Weekday,Low,Breakfast 08:00–09:00
2024-03-01 12:00:00,Lunch,121.0,2024-03-01,12,4,0,9,1,0.1069849690539345,12:00–13:00,Friday,Weekday,Low,Lunch 12:00–13:00
2024-03-01 12:10:00,Lunch,265.0,2024-03-01,12,4,0,9,1,0.2343059239610963,12:00–13:00,Friday,Weekday,Low,Lunch 12:00–13:00
2024-03-01 12:20:00,Lunch,378.0,2024-03-01,12,4,0,9,1,0.3342175066312997,12:00–13:00,Friday,Weekday,Medium,Lunch 12:00–13:00
2024-03-01 12:30:00,Lunch,421.0,2024-03-01,12,4,0,9,1,0.372236958443855,12:00–13:00,Friday,Weekday,Medium,Lunch 12:00–13:00
