timestamp,location,number_of_users,bandwidth_usage,date,hour,day_of_week,is_weekend,week,bandwidth_per_user,hour_label,day_name,week_type,load_level
2024-03-01 00:49:00,Academic Zone,7.0,13.42,2024-03-01,0,4,0,9,1.917142857142857,00:00–01:00,Friday,Weekday,Low
2024-03-01 01:33:00,Academic Zone,150.0,223.9,2024-03-01,1,4,0,9,1.4926666666666668,01:00–02:00,Friday,Weekday,Medium
2024-03-01 02:12:00,Academic Zone,3.0,4.24,2024-03-01,2,4,0,9,1.413333333333333,02:00–03:00,Friday,Weekday,Low
2024-03-01 03:08:00,Academic Zone,2.0,1.78,2024-03-01,3,4,0,9,0.89,03:00–04:00,Friday,Weekday,Low
2024-03-01 04:10:00,Academic Zone,7.0,9.31,2024-03-01,4,4,0,9,1.33,04:00–05:00,Friday,Weekday,Low
2024-03-01 05:29:00,Academic Zone,23.0,30.58,2024-03-01,5,4,0,9,1.3295652173913042,05:00–06:00,Friday,Weekday,Low
2024-03-01 06:13:00,Academic Zone,53.0,63.07,2024-03-01,6,4,0,9,1.19,06:00–07:00,Friday,Weekday,Medium
2024-03-01 07:06:00,Academic Zone,121.0,191.7,2024-03-01,7,4,0,9,1.584297520661157,07:00–08:00,Friday,Weekday,Medium
2024-03-01 08:07:00,Academic Zone,232.0,394.34,2024-03-01,8,4,0,9,1.6997413793103446,08:00–09:00,Friday,Weekday,High
2024-03-01 09:32:00,Academic Zone,359.0,531.01,2024-03-01,9,4,0,9,1.4791364902506965,09:00–10:00,Friday,Weekday,High
2024-03-01 10:34:00,Academic Zone,440.0,678.11,2024-03-01,10,4,0,9,1.5411590909090909,10:00–11:00,Friday,Weekday,High
2024-03-01 11:13:00,Academic Zone,367.0,467.79,2024-03-01,11,4,0,9,1.274632152588556,11:00–12:00,Friday,Weekday,High
2024-03-01 12:18:00,Academic Zone,231.0,214.62,2024-03-01,12,4,0,9,0.9290909090909092,12:00–13:00,Friday,Weekday,High
2024-03-01 13:10:00,Academic Zone,263.0,491.22,2024-03-01,13,4,0,9,1.8677566539923955,13:00–14:00,Friday,Weekday,High
2024-03-01 14:55:00,Academic Zone,334.0,273.63,2024-03-01,14,4,0,9,0.819251497005988,14:00–15:00,Friday,Weekday,High
2024-03-01 15:06:00,Academic Zone,247.0,388.02,2024-03-01,15,4,0,9,1.5709311740890688,15:00–16:00,Friday,Weekday,High
2024-03-01 16:28:00,Academic Zone,267.0,406.69,2024-03-01,16,4,0,9,1.523183520599251,16:00–17:00,Friday,Weekday,High
2024-03-01 17:25:00,Academic Zone,210.0,328.95,2024-03-01,17,4,0,9,1.5664285714285713,17:00–18:00,Friday,Weekday,High
2024-03-01 18:57:00,Academic Zone,359.0,494.52,2024-03-01,18,4,0,9,1.377493036211699,18:00–19:00,Friday,Weekday,High
2024-03-01 19:32:00,Academic Zone,237.0,506.83,2024-03-01,19,4,0,9,2.1385232067510547,19:00–20:00,Friday,Weekday,High
2024-03-01 20:53:00,Academic Zone,274.0,469.93,2024-03-01,20,4,0,9,1.71507299270073,20:00–21:00,Friday,Weekday,High
2024-03-01 21:57:00,Academic Zone,167.0,347.91,2024-03-01,21,4,0,9,2.083293413173653,21:00–22:00,Friday,Weekday,High
2024-03-01 22:06:00,Academic Zone,114.0,115.64,2024-03-01,22,4,0,9,1.0143859649122806,22:00–23:00,Friday,Weekday,Medium
2024-03-01 23:26:00,Academic Zone,19.0,24.77,2024-03-01,23,4,0,9,1.3036842105263158,23:00–24:00,Friday,Weekday,Low
2024-03-02 00:53:00,Academic Zone,7.0,13.93,2024-03-02,0,5,1,9,1.99,00:00–01:00,Saturday,Weekend,Low
2024-03-02 01:28:00,Academic Zone,4.0,6.77,2024-03-02,1,5,1,9,1.6925,01:00–02:00,Saturday,Weekend,Low
2024-03-02 02:14:00,Academic Zone,2.0,2.37,2024-03-02,2,5,1,9,1.185,02:00–03:00,Saturday,Weekend,Low
2024-03-02 03:07:00,Academic Zone,3.0,5.42,2024-03-02,3,5,1,9,1.8066666666666664,03:00–04:00,Saturday,Weekend,Low
2024-03-02 04:20:00,Academic Zone,2.0,3.27,2024-03-02,4,5,1,9,1.635,04:00–05:00,Saturday,Weekend,Low
2024-03-02 05:48:00,Academic Zone,9.0,15.23,2024-03-02,5,5,1,9,1.6922222222222223,05:00–06:00,Saturday,Weekend,Low
2024-03-02 06:44:00,Academic Zone,14.0,19.17,2024-03-02,6,5,1,9,1.3692857142857144,06:00–07:00,Saturday,Weekend,Low
2024-03-02 07:25:00,Academic Zone,33.0,44.23,2024-03-02,7,5,1,9,1.34030303030303,07:00–08:00,Saturday,Weekend,Low
2024-03-02 08:44:00,Academic Zone,98.0,166.64,2024-03-02,8,5,1,9,1.700408163265306,08:00–09:00,Saturday,Weekend,Medium
2024-03-02 09:57:00,Academic Zone,156.0,267.22,2024-03-02,9,5,1,9,1.7129487179487182,09:00–10:00,Saturday,Weekend,High
2024-03-02 10:55:00,Academic Zone,204.0,296.01,2024-03-02,10,5,1,9,1.4510294117647058,10:00–11:00,Saturday,Weekend,High
2024-03-02 11:24:00,Academic Zone,189.0,291.96,2024-03-02,11,5,1,9,1.5447619047619046,11:00–12:00,Saturday,Weekend,High
2024-03-02 12:10:00,Academic Zone,244.0,310.92,2024-03-02,12,5,1,9,1.274262295081967,12:00–13:00,Saturday,Weekend,High
2024-03-02 13:43:00,Academic Zone,208.0,384.36,2024-03-02,13,5,1,9,1.8478846153846156,13:00–14:00,Saturday,Weekend,High
2024-03-02 14:42:00,Academic Zone,200.0,322.12,2024-03-02,14,5,1,9,1.6106,14:00–15:00,Saturday,Weekend,High
2024-03-02 15:28:00,Academic Zone,128.0,282.27,2024-03-02,15,5,1,9,2.205234375,15:00–16:00,Saturday,Weekend,Medium
2024-03-02 16:36:00,Academic Zone,109.0,241.37,2024-03-02,16,5,1,9,2.2144036697247707,16:00–17:00,Saturday,Weekend,Medium
2024-03-02 17:49:00,Academic Zone,149.0,250.64,2024-03-02,17,5,1,9,1.6821476510067113,17:00–18:00,Saturday,Weekend,Medium
2024-03-02 18:20:00,Academic Zone,111.0,187.51,2024-03-02,18,5,1,9,1.6892792792792792,18:00–19:00,Saturday,Weekend,Medium
2024-03-02 19:02:00,Academic Zone,112.0,127.74,2024-03-02,19,5,1,9,1.1405357142857142,19:00–20:00,Saturday,Weekend,Medium
2024-03-02 20:17:00,Academic Zone,72.0,96.37,2024-03-02,20,5,1,9,1.3384722222222225,20:00–21:00,Saturday,Weekend,Medium
2024-03-02 21:18:00,Academic Zone,49.0,51.04,2024-03-02,21,5,1,9,1.0416326530612243,21:00–22:00,Saturday,Weekend,Low
2024-03-02 22:08:00,Academic Zone,27.0,54.45,2024-03-02,22,5,1,9,2.0166666666666666,22:00–23:00,Saturday,Weekend,Low
2024-03-02 23:51:00,Academic Zone,15.0,17.89,2024-03-02,23,5,1,9,1.1926666666666668,23:00–24:00,Saturday,Weekend,Low
2024-03-03 00:42:00,Academic Zone,8.0,7.08,2024-03-03,0,6,1,9,0.885,00:00–01:00,Sunday,Weekend,Low
2024-03-03 01:45:00,Academic Zone,5.0,6.35,2024-03-03,1,6,1,9,1.27,01:00–02:00,Sunday,Weekend,Low
2024-03-03 02:08:00,Academic Zone,3.0,4.5,2024-03-03,2,6,1,9,1.5,02:00–03:00,Sunday,Weekend,Low
2024-03-03 03:47:00,Academic Zone,4.0,5.34,2024-03-03,3,6,1,9,1.335,03:00–04:00,Sunday,Weekend,Low
2024-03-03 04:41:00,Academic Zone,3.0,4.05,2024-03-03,4,6,1,9,1.35,04:00–05:00,Sunday,Weekend,Low
2024-03-03 05:34:00,Academic Zone,7.0,5.41,2024-03-03,5,6,1,9,0.7728571428571429,05:00–06:00,Sunday,Weekend,Low
